guideline 7367 chars, 5 repeats, temperature=None, effort=high
    r3 10502833.json     106.0s  5/30  (elapsed 197.6 min)
    r3 10545613.json      57.0s  6/30  (elapsed 198.6 min)
    r3 10577908.json     184.2s  7/30  (elapsed 201.6 min)
    r3 10709732.json     183.8s  8/30  (elapsed 204.7 min)
    r3 10724160.json      49.3s  9/30  (elapsed 205.5 min)
    r3 10924409.json     244.8s  10/30  (elapsed 209.6 min)
    r3 10958786.json      35.9s  11/30  (elapsed 210.2 min)
    r3 1303173.json      139.5s  12/30  (elapsed 212.5 min)
    r3 1316718.json      286.9s  13/30  (elapsed 217.3 min)
    r3 133535.json       146.6s  14/30  (elapsed 219.8 min)
    r3 1345170.json      110.6s  15/30  (elapsed 221.6 min)
    r3 1671881.json      151.5s  16/30  (elapsed 224.1 min)
    r3 2253937.json      359.9s  17/30  (elapsed 230.1 min)
    r3 3354603.json      178.8s  18/30  (elapsed 233.1 min)
    r3 3377761.json      127.2s  19/30  (elapsed 235.2 min)
    r3 3876122.json      118.7s  20/30  (elapsed 237.2 min)
    r3 6859721.json      179.0s  21/30  (elapsed 240.2 min)
    r3 7202134.json       58.8s  22/30  (elapsed 241.2 min)
    r3 7444053.json       90.8s  23/30  (elapsed 242.7 min)
    r3 7523157.json      296.6s  24/30  (elapsed 247.6 min)
    r3 7833921.json      164.9s  25/30  (elapsed 250.4 min)
    r3 7894493.json      185.7s  26/30  (elapsed 253.5 min)
    r3 7951315.json      173.8s  27/30  (elapsed 256.4 min)
    r3 8317477.json      100.0s  28/30  (elapsed 258.0 min)
    r3 8326491.json      135.8s  29/30  (elapsed 260.3 min)
    r3 8531967.json      131.0s  30/30  (elapsed 262.5 min)
repeat 3 done: dev10 F1=0.8252  dev20 F1=0.7871  dev30 F1=0.8152

repeat 4: 0 cached, 30 to annotate
    r4 10196379.json     135.4s  1/30  (elapsed 264.7 min)
    r4 10447258.json     253.6s  2/30  (elapsed 269.0 min)
    r4 10484772.json     194.8s  3/30  (elapsed 272.2 min)
    r4 10484981.json     170.5s  4/30  (elapsed 275.0 min)
    r4 10502833.json      80.3s  5/30  (elapsed 276.4 min)
    r4 10545613.json      48.4s  6/30  (elapsed 277.2 min)
    r4 10577908.json     207.0s  7/30  (elapsed 280.6 min)
    r4 10709732.json     195.2s  8/30  (elapsed 283.9 min)
    r4 10724160.json      85.9s  9/30  (elapsed 285.3 min)
    r4 10924409.json     260.5s  10/30  (elapsed 289.7 min)
    r4 10958786.json      78.4s  11/30  (elapsed 291.0 min)
    r4 1303173.json      104.9s  12/30  (elapsed 292.7 min)
    r4 1316718.json      450.5s  13/30  (elapsed 300.2 min)
    r4 133535.json       108.4s  14/30  (elapsed 302.0 min)
    r4 1345170.json      107.5s  15/30  (elapsed 303.8 min)
    r4 1671881.json      100.1s  16/30  (elapsed 305.5 min)
    r4 2253937.json      157.0s  17/30  (elapsed 308.1 min)
    r4 3354603.json      258.6s  18/30  (elapsed 312.4 min)
    r4 3377761.json      600.6s  19/30  (elapsed 322.4 min)
    r4 3876122.json      186.1s  20/30  (elapsed 325.5 min)
    r4 6859721.json      146.0s  21/30  (elapsed 328.0 min)
    r4 7202134.json      132.5s  22/30  (elapsed 330.2 min)
    r4 7444053.json      136.0s  23/30  (elapsed 332.4 min)
    r4 7523157.json      172.5s  24/30  (elapsed 335.3 min)
    r4 7833921.json      159.7s  25/30  (elapsed 338.0 min)
    r4 7894493.json      100.8s  26/30  (elapsed 339.7 min)
    r4 7951315.json      202.8s  27/30  (elapsed 343.0 min)
    r4 8317477.json       71.1s  28/30  (elapsed 344.2 min)
    r4 8326491.json       74.9s  29/30  (elapsed 345.5 min)
    r4 8531967.json      111.3s  30/30  (elapsed 347.3 min)
repeat 4 done: dev10 F1=0.7832  dev20 F1=0.7653  dev30 F1=0.7962

repeat 5: 0 cached, 30 to annotate
    r5 10196379.json     131.5s  1/30  (elapsed 349.5 min)
    r5 10447258.json     187.5s  2/30  (elapsed 352.6 min)
    r5 10484772.json     157.7s  3/30  (elapsed 355.3 min)
    r5 10484981.json     175.2s  4/30  (elapsed 358.2 min)
    r5 10502833.json     126.2s  5/30  (elapsed 360.3 min)
    r5 10545613.json     129.5s  6/30  (elapsed 362.5 min)
    r5 10577908.json     157.7s  7/30  (elapsed 365.1 min)
    r5 10709732.json     118.5s  8/30  (elapsed 367.1 min)
    r5 10724160.json     106.9s  9/30  (elapsed 368.8 min)
    r5 10924409.json     200.8s  10/30  (elapsed 372.2 min)
    r5 10958786.json     246.5s  11/30  (elapsed 376.3 min)
    r5 1303173.json      190.6s  12/30  (elapsed 379.5 min)
    r5 1316718.json      267.2s  13/30  (elapsed 383.9 min)
    r5 133535.json       107.0s  14/30  (elapsed 385.7 min)
    r5 1345170.json       56.5s  15/30  (elapsed 386.6 min)
    r5 1671881.json      174.8s  16/30  (elapsed 389.6 min)
    r5 2253937.json      132.5s  17/30  (elapsed 391.8 min)
    r5 3354603.json      102.5s  18/30  (elapsed 393.5 min)
    r5 3377761.json       96.8s  19/30  (elapsed 395.1 min)
    r5 3876122.json      153.1s  20/30  (elapsed 397.6 min)
    r5 6859721.json      160.7s  21/30  (elapsed 400.3 min)
    r5 7202134.json      116.6s  22/30  (elapsed 402.3 min)
    r5 7444053.json       88.8s  23/30  (elapsed 403.7 min)
    r5 7523157.json      462.5s  24/30  (elapsed 411.4 min)
    r5 7833921.json      171.8s  25/30  (elapsed 414.3 min)
    r5 7894493.json       97.2s  26/30  (elapsed 415.9 min)
    r5 7951315.json      188.1s  27/30  (elapsed 419.1 min)
    r5 8317477.json      101.2s  28/30  (elapsed 420.8 min)
    r5 8326491.json       81.8s  29/30  (elapsed 422.1 min)
    r5 8531967.json      143.9s  30/30  (elapsed 424.5 min)
repeat 5 done: dev10 F1=0.8028  dev20 F1=0.7752  dev30 F1=0.8130


size     gold                                 F1 per repeat    range       SD  1/sqrt(N) pred
----------------------------------------------------------------------------------------------
dev10      74            0.8028 0.8085 0.8252 0.7832 0.8028   0.0420   0.0150  (reference)
dev20     162            0.7702 0.7622 0.7871 0.7653 0.7752   0.0249   0.0098          0.0102
dev30     273            0.7954 0.8038 0.8152 0.7962 0.8130   0.0198   0.0092          0.0078

size                  true positives per repeat    range       SD
-----------------------------------------------------------------
dev10                            57 57 59 56 57        3     1.10
dev20                       119 117 122 119 119        5     1.79
dev30                       208 211 214 209 213        6     2.55

written to reproduction\results\size_noise\summary.json
